snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
"For the last year, an analysis of the Thursday network ratings went like this: '' 'CSI' blah, 'Survivor' blah blah, 'Without a Trace' etc., and CBS won.'' But with last week's scheduling changes and new shows, the Thursday ratings landscape has ch...","Arts, Briefly; Ratings Shift for Thursday",20060114,0.0386,0.0772,0.096,0.847,0.057
Johnson & Johnson was able to dissuade Guidant from backing out of a previously announced merger and going with a higher bid from Boston Scientific.,Johnson & Johnson Pulls Ahead in Takeover Battle for Guidant,20060114,0.0258,0.0258,0,0.95,0.05
"For every child killed in a notorious abuse case, there are usually several siblings, who often vanish quickly from the public's consciousness.",Hard Road for Siblings Who Survived Abuse,20060115,-0.9118,-0.9118,0.392,0.608,0
"Remember the chicken-and-stars soup of your youth? This is like that, but heartier, more healthful and a touch more sophisticated. It's loaded with vegetables – carrots, leeks, celery – and seasoned with generous amounts of garlic, tarragon, thyme...",The Way We Eat; Generation Pad Thai,20060115,0.435467,0.9107,0,0.747,0.253
Maybe don't order pad Thai this weekend and make it yourself? Here's a recipe to offer both an excellent facsimile of what's available from your favorite Thai place and the satisfaction that comes with having made the meal at home. This dish may i...,The Way We Eat; Generation Pad Thai,20060115,0.2875,0.8625,0,0.806,0.194
"In the last few years, a number of St. Barts's habitués have begun to drift southward to Punta del Este, the South American resort town.","In Uruguay, a Pearl of the Atlantic Gets Its Luster Back",20060115,0.0772,0.0772,0,0.947,0.053
"The industry that Enron made infamous is springing to life again, with help from former Enron traders.","Energy Trading, Post-Enron",20060115,0.4019,0.4019,0,0.856,0.144
The next South Beach? There's no such thing. The unchallenged original is still going strong.,South Beach,20060115,0.5267,0.5267,0.111,0.606,0.283
The 10-step program to enter that nirvanalike state of a St. Barts veteran.,The Beginner's Guide to St. Barts,20060115,0,0,0,1,0
Are Unesco World Heritage sites getting too popular for their own good?,"Preservation: Sure, It's a Good Thing, but..",20060115,0.6908,0.6908,0,0.637,0.363
Some condo unit owners may be held personally liable for injuries caused by defects in condo common areas.,Protecting Condos Against Liability,20060115,-0.4019,-0.4019,0.137,0.863,0
"The Hotel Básico brings a stripped-down, industrial-chic look to Playa del Carmen, the popular Yucatán getaway.","Playa del Carmen, Mexico: Hotel Básico",20060115,0.4215,0.4215,0,0.833,0.167
The Cleveland Orchestra seemed to have spared little expense in its concert revival. But Schumann's orchestration does not flatter this exceptional orchestra.,Schumann Rarity: An Opera of Bits and Pieces of 'Faust',20060116,-0.0762,-0.0762,0.058,0.942,0
"Fallon Brand Consulting has been spun off from Fallon Worldwide, Minneapolis, a unit of the Publicis Groupe, and acquired by Dodie Subler and Bruce Tait, managing partners. They have renamed the agency Tait Subler, where they are the founding part...",Miscellany,20060116,0,0,0,1,0
"MAIER--Martha. Died peacefully in her home in Palm Beach, at age 102. Beloved wife of the late Herbert Maier. Loving mother to Ruth Baer and Marguerite Rothschild, devoted grandmother to Arthur and Benji, Richard and Barbara, Michael and Cecile, A...","Paid Notice: Deaths MAIER, MARTHA",20060116,0.306,0.8658,0.069,0.674,0.256
"France has beeen plunged into a bath of nostalgia for a man who was reviled by some, tolerated by others, loved by a few.","A Decade After His Death, Mitterrand Still Reigns",20060116,0.5994,0.5994,0,0.837,0.163
"There is growing support for Hamas in Biddu, a traditionally secular West Bank town a few miles from Jerusalem.",Anger in the West Bank Helps Hamas Win Hearts,20060116,0.5267,0.5267,0,0.773,0.227
"Despite our national commitment to advance free government around the world, we consistently marginalize or ignore the Rev. Dr. Martin Luther King Jr.'s commitment to the core values of democracy.",Globalizing King's Legacy,20060116,0.8271,0.8271,0.065,0.646,0.289
"To the Editor: Re ''Bad Things Happen in Small Places'' (Op-Ed, Jan. 11):",The Money for Homeland Security,20060116,0,0,0,1,0
An agreement between Canadas main TV networks and its largest political parties bans satirists from using film from televised debates.,"To News Parodies, Ban on Using Debate Film Is Not Funny",20060116,0.7096,0.7096,0,0.753,0.247
"COWAN--Robert Campbell Jr. Peacefully, on January 12, 2006, of New York City. Beloved husband of the late Margaret (Peggy) Walker. Loving father of Mary Amanda Duff (Paul) and Hilary Anne Cowan. Dear brother of John and the late Anne Cornelius and...","Paid Notice: Deaths COWAN, ROBERT CAMPBELL JR.",20060116,0.504625,0.9217,0,0.737,0.263
Fashion statements at the 63rd annual Golden Globe Awards.,Golden Globe Fashion Slide Show,20060116,0.4588,0.4588,0,0.727,0.273
"The line outside the R. G. Ortiz Funeral Home on the Lower East Side of Manhattan snaked a half-block north along First Avenue yesterday before veering east on Second Street, stretching as far as the eye could see. The first people arrived at ...","Hundreds Mourn Slain Girl, Moved by a Life Too Sad and Too Short",20060117,-0.28595,-0.5719,0.103,0.897,0
The controversey surrounding James Frey's memoir reveals how much value contemporary culture places on the very idea of truth.,Bending the Truth in a Million Little Ways,20060117,0.6077,0.6077,0,0.774,0.226
"This new CBS series is yet another attempt to create a male version of ""Sex and the City.""","Sensitive, Single Urban Man, Recently Fired, Seeks Love",20060117,0.2732,0.2732,0,0.884,0.116
"Alden J. McDonald Jr. has retired his Katrina-wear. The polos and short-sleeved cabana shirts that Mr. McDonald, the chief executive of Liberty Bank and Trust of New Orleans, favored in the first months after Hurricane Katrina have been relegated ...",Liberty Tries To Push On But Katrina Still Lingers,20060117,0.42955,0.8591,0,0.796,0.204
"Nick Goings found his place somewhere near the bottom of the depth chart through most of his five relatively anonymous seasons with the Carolina Panthers. From Tshimanga Biakabutuka to Stephen Davis, Lamar Smith to DeShaun Foster, Goings has ...",Panthers' Backup Was Big Before and Will Have to Be Again,20060117,0,0,0,1,0
"Built to last just 50 years, the warranty for the Tappan Zee Bridge has expired. Where does it go from here?",A Bridge That Has Nowhere Left to Go,20060117,0,0,0,1,0
"Every five years, the Clean Air Act requires the administrator of the Environmental Protection Agency to revise federal air quality standards for smog and soot. It is a stressful moment. When Carol Browner, President Bill Clinton's administrator, ...",Ignoring Science on Clean Air,20060117,-0.12753,-0.4215,0.13,0.806,0.064
"DAVIDSON--Stephanie Russo 12/5/52--1/17/03. Three years and our love is as strong as ever. We miss you. Paul, Spencer, Naniell, Mom","Paid Notice: Memorials DAVIDSON, STEPHANIE RUSSO",20060117,0.7845,0.7845,0.061,0.651,0.287
"INTERNATIONAL A3-9 In Ukraine Race, Ex-Leader Is Gaining on Incumbent Viktor F. Yanukovich, the former president of the Ukraine, who was defeated to the tune of protest and public outrage, is running for president again. According to a poll,...",News Summary,20060117,-0.3404,-0.6808,0.186,0.752,0.062
A grand jury charged the mother and stepfather of 7-year-old Nixzmary Brown with murder Tuesday.,Murder Charges Detail Torture of 7-Year-Old,20060118,-0.5423,-0.5423,0.317,0.537,0.146
"PBS's four-part edutainment series on the French and Indian War is patriotic but specious, and it looks like a school play.",A Spotlight on the Battles That Set the Stage for Revolution,20060118,0.5994,0.5994,0.095,0.659,0.246
"Expert advice for mogul skiers from Liz McIntyre, Olympic Coach.",How to Rule the Mogul Empire Slide Show,20060118,0,0,0,1,0
The best-selling author Susan Orlean wanted a weekend house with surprising details and elements of Japanese architecture.,A Family Retreat Audio Slide Show,20060118,0.2732,0.2732,0,0.877,0.123
"Wayne Nish, left, the executive chef and an owner of March, said he was impressed with the quality of the cheeses he ordered from a French Web site, fromages.com. So when the company suggested that he put his name on a selection of cheeses, he did...",Wayne's World: The Cheeses of France,20060118,0.23835,0.4767,0,0.933,0.067
To the Editor: Samuel Alito is a Republican. Samuel Alito is conservative. More than half of Americans vote Republican. Almost a third of Americans identify themselves as conservative. What's the big mystery of the likelihood of his confirmati...,Judge Alito and the Democrats,20060118,0,0,0,1,0
"After the recommendation of an Austrian arbitration panel that five Gustav Klimt paintings looted by the Nazis be returned to the heir of the Jewish family that owned them, the 89-year-old owner said yesterday that she was willing to sell some of ...","Arts, Briefly; Klimt Owner Looks Ahead",20060118,0,0,0,1,0
"DRURY--Cornelia L. Passed away in the early hours on January 17, 2006. She died peacefully in her sleep. She is survived by her loving husband, Philip, after 44 years of marriage, and her step-son, John Drury, and two grandchildren. She was a grad...","Paid Notice: Deaths DRURY, CORNELIA L.",20060118,0.1876,0.7906,0.069,0.728,0.203
"Working from the scant documentary evidence, Park Honan constructs a biography of Marlowe, who was the Elizabethan equivalent of a rock star.",A Mick Jagger in an Elizabethan Ruff,20060118,0,0,0,1,0
A new channel from Comcast is the latest attempt by cable companies to generate revenue from on-demand programming.,Ads Coming to On-Demand TV,20060118,0,0,0,1,0
"Part of Cinemax's ""Reel Life"" series, this film is an impressionistic, anti-verité project, which suits the melancholy material.","Decades Later, Haunted by the Loss of a Little Brother",20060119,-0.1027,-0.1027,0.136,0.748,0.117
India is grappling with how to balance industrial growth against the demands of its most marginalized citizens.,A Challenge for India Photographs,20060119,0.3818,0.3818,0,0.86,0.14
The panel said that the Bush administration needs to act more aggressively to limit the emission of greenhouse gases linked to climate change.,6 Ex-Chiefs of E.P.A. Urge Action on Greenhouse Gases,20060119,-0.3804,-0.3804,0.105,0.895,0
"The World Anti-Doping Agency banned finasteride, an anti-baldness drug, in 2004 because it can hide the use of more nefarious drugs.","Skin Deep; Fighting Baldness, and Now an Olympic Ban",20060119,-0.5719,-0.5719,0.198,0.802,0
"Curry, Unhurried.",GARDEN Q&A,20060119,0,0,0,1,0
"State officials gave final approval yesterday to plans for an 85-acre park on the Brooklyn waterfront, paving the way for construction of what the park planners say is the most significant development of parkland in Brooklyn since the completion o...",Albany Approves Plans for Brooklyn Waterfront Park,20060119,0.6361,0.6361,0,0.88,0.12
"You can't come in, said the maintenance man standing in the door of the men's room. ""Use the ladies' room.""",BOLDFACE,20060119,0,0,0,1,0
"New Drug Label Rule Seeks to Cut Medical Errors Prescription drug labels will soon undergo a major revision, a move federal regulators hope will reduce the injuries and deaths caused by medical errors. The changes are intended to clarify the floo...",INSIDE,20060119,-0.2294,-0.4588,0.154,0.781,0.065
"Anyone, from the biggest TV network to the most talent-free camera-phone owner, is allowed to post videos to Google's video store.",Google Video: Trash Mixed With Treasure,20060119,0,0,0,1,0
"FEDER--Sally. Our deepest sympathies go out to Mel Feder, senior partner and friend, and his dear family as they mourn the loss of their beloved mother and grandmother, Sally Feder. The Partners & staff of Loeb & Troper","Paid Notice: Deaths FEDER, SALLY",20060119,0.204133,0.6124,0.113,0.686,0.201
